MT,ANACONDA DEER LODGE CTY POLICE DEPT,1450-01-287-7003,"TRAILER,MAINTENANCE-REPAIR PARTS,GUIDED MISSILE SYSTEM",1,Each,"$137,814.00",B,3,"Mar 18, 2014 11:55:32 AM"
MT,BLAINE CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 7, 2007 12:00:00 AM",,
MT,BLAINE CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BLAINE CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 11, 2006 12:00:00 AM",
MT,BLAINE CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 11, 2006 12:00:00 AM",
MT,BLAINE CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BLAINE CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 7, 2007 12:00:00 AM",,
MT,BLAINE CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 11, 2006 12:00:00 AM",
MT,BLAINE CTY SHERIFF DEPT,5855-01-490-6865,"VIEWER,NIGHT VISION",4,Each,"$34,209.56",C,1,"Mar 18, 2014 11:55:32 AM",
MT,BLAINE CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 19, 2006 12:00:00 AM",,
MT,BLAINE CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 11, 2006 12:00:00 AM",
MT,BRIDGER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,BRIDGER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 19, 2006 12:00:00 AM",
MT,BRIDGER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 19, 2006 12:00:00 AM",,
MT,BRIDGER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 19, 2006 12:00:00 AM",
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,BROADWATER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,CARTER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CARTER CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CASCADE CTY SHERIFF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CASCADE CTY SHERIFF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CASCADE CTY SHERIFF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CASCADE CTY SHERIFF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CASCADE CTY SHERIFF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CHINOOK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 7, 2007 12:00:00 AM",,
MT,CHINOOK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 7, 2007 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 15, 2006 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 15, 2006 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 15, 2006 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 15, 2006 12:00:00 AM",,
MT,CHOUTEAU CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,COLUMBIA FALLS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,COLUMBIA FALLS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,COLUMBIA FALLS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CONRAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CONRAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CUT BANK POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,CUT BANK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,CUT BANK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 5, 2006 12:00:00 AM",,
MT,DANIELS CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DANIELS CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DANIELS CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DILLON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 8, 2006 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-01-465-2133,"STRAPS,SHOULDER,FRAME",30,Each,$28.73,A,1,"Feb 29, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5120-00-242-3249,"WRENCH,PIPE",1,Each,$23.86,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-501-3081,"ILLUMINATOR,INFRARED",4,Each,$385.00,C,1,"Oct 23, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8415-01-394-3834,"LINER,FLYERS JACKET",3,Each,$95.15,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-01-021-5730,PLIERS,10,Each,$20.91,A,1,"Dec 15, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,8415-01-461-8336,"SHIRT,COLD WEATHER",6,Each,$60.25,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5210-00-540-3513,"SQUARE,COMBINATION",3,Each,$234.08,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-533-0555,"ILLUMINATOR,INFRARED",1,Each,"$1,800.00",D,1,"Nov 10, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-533-0555,"ILLUMINATOR,INFRARED",4,Each,"$1,800.00",D,1,"Nov 10, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8145-01-516-5386,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,Each,$139.77,A,1,"Dec 3, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8145-01-516-5386,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",3,Each,$139.77,A,1,"Dec 3, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8415-01-580-1341,"JACKET,COLD WEATHER",3,Each,$65.51,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1240-01-551-5732,"SIGHT,REFLEX",9,Each,$300.00,D,1,"Feb 22, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-01-524-8368,FRAME              ,30,Each,$26.47,A,1,"Jan 5, 2016 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,5180-00-357-7770,"TOOL KIT,REPAIRMANS,SMALL ARMS",1,Kit,"$2,130.00",A,1,"Nov 4, 2015 12:00:00 AM"
MT,DOJ/DEA BILLINGS,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,Each,$848.00,D,1,"Mar 4, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-302-5493,"SCOPE,NIGHT-POCKET ",6,Each,"$4,107.00",C,1,"Mar 28, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,1240-01-411-1265,"SIGHT,REFLEX",20,Each,$365.00,D,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-027-1554,"IMAGE INTENSIFIER TUBE,NIGHT VISION",9,Each,"$4,499.00",F,1,"Dec 9, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,4240-01-583-5742,"SPECTACLES,INDUSTRIAL",21,Each,$51.09,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1005-01-460-3249,"COMPENSATOR,SMALL ARMS",2,Each,$83.36,D,1,"Mar 9, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5965-01-572-7829,HEADSET-MICROPHONE,25,Kit,$955.96,D,1,"Nov 25, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,1240-01-386-2771,"TELESCOPE,STRAIGHT",3,Each,"$2,376.00",F,1,"Feb 5, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5120-00-264-3796,"WRENCH,ADJUSTABLE",9,Each,$16.69,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-00-264-3796,"WRENCH,ADJUSTABLE",10,Each,$16.69,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-504-4589,"IMAGE INTENSIFIER TUBE,NIGHT VISION",3,Each,"$2,346.00",F,1,"Mar 4, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5120-01-176-1819,"WRENCH SET,COMBINATION BOX AND OPEN END",1,Set,$276.22,A,1,"Oct 26, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1005-00-921-5004,"MAGAZINE,CARTRIDGE",100,Each,$13.35,D,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-477-8738,"IMAGE INTENSIFIER,NIGHT VISION",1,Each,"$5,683.00",C,1,"Dec 9, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",12,Each,$75.01,D,7,"Nov 24, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5140-01-442-3573,"CARRIER,TOOL",10,Each,$40.10,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1005-00-056-2237,"MAGAZINE,CARTRIDGE",50,Each,$12.11,D,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-01-491-7513,"STRAPS,SHOULDER,FRAME",1,Each,$34.98,A,1,"Feb 29, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-589-9339,"ILLUMINATOR,INTEGRATED,SMALL ARMS",14,Each,$275.00,D,1,"Feb 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-533-0996,"ILLUMINATOR,INTEGRATED,SMALL ARMS",8,Each,$350.00,D,1,"Nov 10, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,6650-01-278-6412,BORESCOPE,3,Each,"$2,237.81",Q,3,"Oct 19, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1240-20-006-8632,"TELESCOPE,ARTICULATED",1,Each,"$1,603.00",D,,"Feb 2, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-447-9165,"IMAGE INTENSIFIER,NIGHT VISION",7,Each,"$5,945.51",D,1,"Jan 8, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,1005-01-521-0922,SCOPE RING         ,18,Each,$261.15,D,1,"Feb 8, 2016 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,5180-DS-TOO-LKIT,"SETS, KITS, AND OUTFITS OF HAND TOOLS",10,Each,$0.00,A,,"Dec 15, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8465-01-465-2289,"PACK,MAIN,MOLLE    ",30,Each,$47.40,A,1,"Feb 29, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,4933-01-394-7781,"BORELIGHT SYSTEM,LASER",3,Each,$707.00,B,3,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5340-01-458-0473,"BRACKET,MOUNTING",20,Each,$119.88,B,3,"Mar 8, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-610-3175,"VIEWER,NIGHT VISION",9,Each,"$28,350.00",C,1,"Feb 24, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,4940-01-592-5878,"SHOP EQUIPMENT,UTILITY",1,Set,"$7,500.00",A,1,"Dec 3, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-561-3801,"SIGHT,THERMAL",1,Each,"$8,118.77",D,1,"Nov 10, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,1005-01-626-1714,RED DOT SIGHT      ,2,Each,"$6,888.00",D,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5133-00-137-2762,"BIT,AUGER",5,Each,$75.54,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5133-01-014-7015,"BIT SET,SPADE,WOOD BORING",10,Set,$21.98,A,1,"Dec 15, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5210-00-926-5430,LEVEL AND PLUMB,10,Each,$46.40,A,1,"Dec 15, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,5120-00-277-1485,"WRENCH,PIPE",14,Each,$21.00,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",2,Each,"$10,100.04",D,1,"Mar 16, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5120-00-277-1462,"WRENCH,PIPE",3,Each,$58.88,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,7025-DS-ALL-IN1P,"ALL IN ONE PRINTER, FAX, SCANNER",2,Each,$0.00,A,,"Mar 1, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-502-6414,"ILLUMINATOR,INFRARED",5,Each,"$7,294.47",D,7,"Dec 3, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8415-DS-SPC-LOTA,"CLOTHING, SPECIAL PURPOSE, DEMIL A",40,Each,$0.00,A,,"Dec 15, 2015 12:00:00 AM",
